backdrop_path,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,vote_average,vote_count
https://image.tmdb.org/t/p/w1280/etj8E2o0Bud0HkONVQPjyCkIvpv.jpg,House of the Dragon,en,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",https://image.tmdb.org/t/p/w1280/1X4h40fcB4WWUmIBK0auT4zRBAV.jpg,tv,"[10765, 18, 10759]",1809.779,2022-08-21,8.508,2372
https://image.tmdb.org/t/p/w1280/hIZFG7MK4leU4axRFKJWqrjhmxZ.jpg,The Peripheral,en,The Peripheral,"Stuck in a small Appalachian town, a young woman’s only escape from the daily grind is playing advanced video games. She is such a good player that a company sends her a new video game system to test…but it has a surprise in store. It unlocks all of her dreams of finding a purpose, romance, and glamour in what seems like a game…but it also puts her and her family in real danger.",https://image.tmdb.org/t/p/w1280/ccBe5BVeibdBEQU7l6P6BubajWV.jpg,tv,"[10765, 18]",1651.639,2022-10-20,8.3,208
https://image.tmdb.org/t/p/w1280/sMdOToOg7KXM7j7cOu1QtjB6rkr.jpg,Zootopia+,en,Zootopia+,"Head back to the fast-paced mammal metropolis of Zootopia in this short-form series that dives deeper into the lives of some of the film’s most intriguing characters, including Fru Fru, the newly married arctic shrew; Gazelle’s talented tiger dancers; and the sloth full of surprises, Flash.",https://image.tmdb.org/t/p/w1280/inzPPPr2BsE92m4rHhQn3sf2yPk.jpg,tv,"[16, 10751, 10759]",198.871,2022-11-09,8.14,25
https://image.tmdb.org/t/p/w1280/ajztm40qDPqMONaSJhQ2PaNe2Xd.jpg,Star Wars: Andor,en,Star Wars: Andor,"The tale of the burgeoning rebellion against the Empire and how people and planets became involved. In an era filled with danger, deception and intrigue, Cassian Andor embarks on the path that is destined to turn him into a rebel hero.",https://image.tmdb.org/t/p/w1280/59SVNwLfoMnZPPB6ukW6dlPxAdI.jpg,tv,"[10765, 10759, 10768]",842.111,2022-09-21,8.1,243
https://image.tmdb.org/t/p/w1280/3tEuJWbFjyQL2m4AlGVB1cRqn1E.jpg,Guillermo del Toro's Cabinet of Curiosities,en,Guillermo del Toro's Cabinet of Curiosities,"Bizarre nightmares unfold in eight tales of terror in this visually stunning, spine-tingling horror collection curated by Guillermo del Toro.",https://image.tmdb.org/t/p/w1280/a91e9hpWwfCqxJI4xM9Q2RhuxgI.jpg,tv,"[18, 9648]",720.468,2022-10-25,8.191,235
https://image.tmdb.org/t/p/w1280/lEoXTFcSX8UfUKsP2Xws6pRiHb4.jpg,The Crown,en,The Crown,"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. 

The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",https://image.tmdb.org/t/p/w1280/hqmDLY8BSuHmldBuuUwNNt8L45G.jpg,tv,[18],496.483,2016-11-04,8.255,1526
https://image.tmdb.org/t/p/w1280/1rO4xoCo4Z5WubK0OwdVll3DPYo.jpg,The Lord of the Rings: The Rings of Power,en,The Lord of the Rings: The Rings of Power,"Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.",https://image.tmdb.org/t/p/w1280/mYLOqiStMxDK3fYZFirgrMt8z5d.jpg,tv,"[10765, 10759, 18]",1357.908,2022-09-01,7.628,1474
https://image.tmdb.org/t/p/w1280/qtfMr08KQsWXnCHY0a96N8NpQ2l.jpg,Bleach,ja,ブリーチ,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",https://image.tmdb.org/t/p/w1280/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg,tv,"[10759, 16, 10765]",211.912,2004-10-05,8.4,1337
https://image.tmdb.org/t/p/w1280/eLQx33dMaa5mW16TFIZbhaeSqer.jpg,Warrior Nun,en,Warrior Nun,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.",https://image.tmdb.org/t/p/w1280/fLP0mA7FiERZhDP1NJUaHpm6XM8.jpg,tv,"[10759, 18, 10765]",235.505,2020-07-02,7.9,821
https://image.tmdb.org/t/p/w1280/5DUMPBSnHOZsbBv81GFXZXvDpo6.jpg,Chainsaw Man,ja,チェンソーマン,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.",https://image.tmdb.org/t/p/w1280/yVtx7Xn9UxNJqvG2BkvhCcmed9S.jpg,tv,"[16, 10759, 10765, 35]",1416.578,2022-10-12,8.6,248
https://image.tmdb.org/t/p/w1280/zaulpwl355dlKkvtAiSBE5LaoWA.jpg,The Walking Dead,en,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,https://image.tmdb.org/t/p/w1280/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg,tv,"[10759, 18, 10765]",1321.631,2010-10-31,8.112,13958
https://image.tmdb.org/t/p/w1280/p68WrxXPgmhjuaYetTiVKLUb65s.jpg,Manifest,en,Manifest,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",https://image.tmdb.org/t/p/w1280/1xeiUxShzNn8TNdMqy3Hvo9o2R.jpg,tv,"[18, 9648, 10765]",741.081,2018-09-24,7.734,980
https://image.tmdb.org/t/p/w1280/dVTvzp1PEnvloYy7qzYCFeAkPQ3.jpg,Star Wars: Tales of the Jedi,en,Star Wars: Tales of the Jedi,Journey into the lives of two distinctly different Jedi from the prequel era – Ahsoka Tano and Count Dooku. Each will be put to the test as they make choices that will define their destinies.,https://image.tmdb.org/t/p/w1280/l6p2eG9YDt7x6OgTC2PCW8yvVqb.jpg,tv,"[16, 10765]",182.785,2022-10-26,8.101,84
